Product,Price,Link
MK1 PC Mechanical Gaming Keyboards - 7-Color LED Backlit Mechanical Keyboard - USB Mechanical Computer Keyboard Wired Blue Switches for MAC/PC Gamers (Black),$25,https://www.newegg.com/black-anivia-mechanical-keyboard-blue-switch/p/32N-00EG-00002?Item=9SIABRY9PF1663&Description=gaming&cm_re=gaming-_-9SIABRY9PF1663-_-Product&cm_sp=SP-_-766970-_-0-_-2-_-9SIABRY9PF1663-_-gaming-_-gaming-_-3
MK1 PC Mechanical Gaming Keyboards - Red LED Backlit Mechanical Keyboard - USB Mechanical Computer Keyboard Wired Blue Switches for MAC/PC Gamers(Black),$29,https://www.newegg.com/black-anivia-mechanical-keyboard-blue-switch/p/32N-00EG-00003?Item=9SIABRY9PF1898&Description=gaming&cm_re=gaming-_-9SIABRY9PF1898-_-Product&cm_sp=SP-_-766970-_-0-_-2-_-9SIABRY9PF1898-_-gaming-_-gaming-_-4
"Wired Keyboard and Mouse Rainbow Backlit Combo, TopMate LED Chroma Gaming Keyboard Mice Set with Multimedia Keys, Light Up Keyboard with RGB Gaming Mouse 6400DPI, for PC/PS4/Xbox One/Gamers/Windows",$32,https://www.newegg.com/p/32N-00YC-00001?Item=9SIAYB8ED71536&Description=gaming&cm_re=gaming-_-9SIAYB8ED71536-_-Product&cm_sp=SP-_-932627-_-0-_-2-_-9SIAYB8ED71536-_-gaming-_-gaming-_-6
TKL RGB Mechanical Gaming Keyboard KITCOM NK60T Cherry MX Blue Switch Equivalent Compact 87 Keys Tenkeyless LED Backlit Detachable USB Type-C Cable Computer Wired Keyboard for Windows PC/MAC Gamers,$37,https://www.newegg.com/kitcom-nk60t-blue-switch-tactile-clicky-black/p/32N-00W4-00010?Item=9SIAXGADY92321&Description=gaming&cm_re=gaming-_-9SIAXGADY92321-_-Product&cm_sp=SP-_-915710-_-0-_-2-_-9SIAXGADY92321-_-gaming-_-gaming-_-12
TKL RGB Gaming Mechanical Keyboard KITCOM NK60T Brown Switch Compact 87 Keys Tenkeyless Music Rhythm Customizable Backlit Detachable USB Type-C NKRO Computer Laptop Keyboard for Windows PC/MAC Gamers,$37,https://www.newegg.com/kitcom-nk60t-brown-switch-tactile-quiet-black/p/32N-00W4-00012?Item=9SIAXGADY92537&Description=gaming&cm_re=gaming-_-9SIAXGADY92537-_-Product&cm_sp=SP-_-915710-_-0-_-2-_-9SIAXGADY92537-_-gaming-_-gaming-_-5
MSI Gaming GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Card GTX 1050 Ti GAMING X 4G,$326,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-gaming-x-4g/p/N82E16814137054?Description=gaming&cm_re=gaming-_-14-137-054-_-Product
MSI GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 Video Card GTX 1050 Ti GAMING 4G,$357,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-gaming-4g/p/N82E16814137060?Description=gaming&cm_re=gaming-_-14-137-060-_-Product
ASUS TUF Gaming GeForce GTX 1650 OC Edition 4GB GDDR6 PCI Express 3.0 Video Card TUF-GTX1650-O4GD6-P-GAMING,$391,https://www.newegg.com/asus-geforce-gtx-1650-tuf-gtx1650-o4gd6-p-gaming/p/N82E16814126445?Description=gaming&cm_re=gaming-_-14-126-445-_-Product
Lenovo ThinkCentre M93 SFF Computer PC i5 4570 3.2Ghz 16GB DDR3 RAM 512GB SSD NVIDIA GeForce GT 1030 2GB Win 10 Pro WIFI with Gaming PC Keyboard & Mouse HAJAAN HC510 HDMI,$393,https://www.newegg.com/lenovo-m93-thinkcentre/p/3D5-0001-000W2?Description=gaming&cm_re=gaming-_-9SIAZ8YF221223-_-Product
Dell Precision T1700 SFF Computer PC i5 4570 3.2Ghz NVIDIA GeForce GT 1030 2GB 16GB DDR3 RAM 512GB SSD Win 10 Pro WIFI with Gaming PC Keyboard & Mouse HAJAAN HC510 HDMI,$413,https://www.newegg.com/dell-t1700-precision/p/3D5-0002-00B19?Description=gaming&cm_re=gaming-_-9SIAZ8YF972478-_-Product
Lenovo ThinkCentre M83 SFF Computer PC i5 4570 3.2Ghz 16GB DDR3 RAM 1TB SSD NVIDIA GeForce GT 1030 2GB Win 10 Pro WIFI with Gaming PC Keyboard & Mouse HAJAAN HC510 HDMI,$425,https://www.newegg.com/lenovo-m83-thinkcentre/p/3D5-0001-000W8?Description=gaming&cm_re=gaming-_-9SIAZ8YF221233-_-Product
Custom Built Dell Gaming Tower Desktop PC i5 Quad-Core Processor upto 3.4GHz NVIDIA GT 1030 2GB 16GB DDR3 RAM 256GB SSD 500GB HDD Win 10 Pro WIFI HAJAAN HC510 Keyboard & Mouse HDMI,$429,https://www.newegg.com/dell-optiplex-990/p/3D5-0002-00CP4?Description=gaming&cm_re=gaming-_-9SIAZ8YFNX9537-_-Product
IPASON - Gaming Desktop - 200GE (2 Core 4 Thread up to 3.2GHz) - 8GB DDR4 2666MHz- 120GB SSD - 550W PSU -Windows 10 home - RGB Fans - Gaming PC,$429,https://www.newegg.com/p/3D5-001U-000K9?Description=gaming&cm_re=gaming-_-9SIAU1ZEND3425-_-Product
IPASON - Gaming Desktop - AMD A8 7680 (4 Core up to 3.8GHz) - Radeon R7 - 240GB SSD - 8GB 1600MHz - Windows 10 home - Office Computer - Gaming PC,$469,https://www.newegg.com/ipason-a87680/p/3D5-001U-000H6?Description=gaming&cm_re=gaming-_-9SIAU1ZEDW1550-_-Product
IPASON - Gaming Desktop - AMD A8 9600 (4 Core up to 3.4GHz) - Radeon R7 - 240GB SSD - 8GB 2666MHz - Windows 10 home - Office Computer - Gaming PC,$469,https://www.newegg.com/p/3D5-001U-000H7?Description=gaming&cm_re=gaming-_-9SIAU1ZEDW1551-_-Product
"Periphio Sub-Terra Gaming PC Computer, Ultra-Fast Intel Core i5 6500, Integrated HD 530 Graphics, 16GB DDR4 RAM, 240GB SSD + 1TB HDD, Windows 10 Home, WIFI, iGPU Gaming",$599,https://www.newegg.com/periphio-green/p/3D5-0019-00019?Description=gaming&cm_re=gaming-_-9SIADGYEWY5739-_-Product
Dell Precision T1700 SFF Computer PC i7 4770 3.4Ghz NVIDIA GeForce GT 1030 2GB 32GB DDR3 RAM 512GB SSD Win 10 Pro WIFI with Gaming PC Keyboard & Mouse HAJAAN HC510 HDMI,$605,https://www.newegg.com/dell-t1700-precision/p/3D5-0002-00B28?Description=gaming&cm_re=gaming-_-9SIAZ8YF972520-_-Product
"Periphio Vortex Gaming PC Desktop Computer Tower, Intel Quad Core i5 3.2GHz, 16GB RAM, 120GB SSD + 500GB 7200 RPM HDD, Windows 10, Nvidia GT1030 2GB, HDMI, Wi-Fi",$619,https://www.newegg.com/p/3D5-0019-00031?Description=gaming&cm_re=gaming-_-9SIADGYFU76948-_-Product
IPASON Gaming Desktop - AMD Ryzen 5 3600 - 8GB Memory DDR4 3200MHz - GTX 960 4GB - 240GB SSD - Windows 10 home 64 bit - Gaming PC,$729,https://www.newegg.com/ipason-3600960-e1/p/3D5-001U-000V1?Description=gaming&cm_re=gaming-_-9SIAU1ZFE80319-_-Product
IPASON - Gaming Desktop - i3 10100 4 Core up to 4.3GHz - GTX 1050Ti 4GB - 240GB SSD - 8GB DDR4 - Windows 10 home - Gaming PC,$739,https://www.newegg.com/p/3D5-001U-000K3?Description=gaming&cm_re=gaming-_-9SIAZEBEND1839-_-Product
IPASON - Gaming Desktop - 10400F 6 Core up to 4.3GHz - GTX 1050Ti 4GB - 256GB SSD - 8GB DDR4 2666MHz - 550W Power supply - Windows 10 home - RGB Fans - Gaming PC,$749,https://www.newegg.com/p/3D5-001U-00016?Description=gaming&cm_re=gaming-_-9SIAU1ZDAU7889-_-Product
IPASON - Gaming Desktop - Ryzen 5 3600 (6 Core 12 Thread up to 4.2GHz) - NVIDIA GeForce GT 730K 4GB - 8GB DDR4 3200MHz - 256GB SSD - 550W -Windows 10 home - RGB Fans - Gaming PC,$749,https://www.newegg.com/p/3D5-001U-000R2?Description=gaming&cm_re=gaming-_-9SIAU1ZENE6492-_-Product
IPASON - Gaming Desktop - Ryzen 5 2600 6 Core up to 3.9GHz - Nvidia GTX960 4GB - 256GB SSD - 8GB DDR4 - Windows 10 home - Gaming PC,$799,https://www.newegg.com/p/3D5-001U-000Y4?Item=9SIAU1ZGMK3891&Description=gaming&cm_re=gaming-_-9SIAU1ZGMK3891-_-Product&cm_sp=SP-_-925442-_-0-_-1-_-9SIAU1ZGMK3891-_-gaming-_-gaming-_-5
IPASON Gaming Desktop - AMD Ryzen 5 3600 - 16GB (8GB*2) Memory DDR4 3200MHz - AMD Radeon RX 560 4GB - 480GB SSD - Windows 10 home 64 bit - Gaming PC,$799,https://www.newegg.com/ipason-3600560-e1/p/3D5-001U-000V0?Description=gaming&cm_re=gaming-_-9SIAU1ZFE80310-_-Product
IPASON - Gaming Desktop - Ryzen 5 3600 (6 Core 12 Thread up to 4.2GHz) - NVIDIA GeForce GT 1030 4GB - 8GB DDR4 3200MHz - 256GB SSD - 550W -Windows 10 home - RGB Fans - Gaming PC,$799,https://www.newegg.com/p/3D5-001U-000R5?Description=gaming&cm_re=gaming-_-9SIAU1ZENE6496-_-Product
