,Judul,Link
0,"M Taufik Bicara 3 Nama Pengganti Anies, Golkar Singgung Kode Nyapres",https://news.detik.com/berita/d-5880128/m-taufik-bicara-3-nama-pengganti-anies-golkar-singgung-kode-nyapres
1,PDIP Nilai M Taufik Ogah Jatuh di Kesalahan yang Sama soal Pengganti Anies,https://news.detik.com/berita/d-5879938/pdip-nilai-m-taufik-ogah-jatuh-di-kesalahan-yang-sama-soal-pengganti-anies
2,"Masa Jabatan Anies Berakhir Oktober 2022, M Taufik Bicara 3 Nama Pengganti",https://news.detik.com/berita/d-5879420/masa-jabatan-anies-berakhir-oktober-2022-m-taufik-bicara-3-nama-pengganti
3,Munarman: Isu Terorisme untuk Cegah Saya Berpartisipasi di Pemilu 2024,https://20.detik.com/detikflash/20211215-211215090/munarman-isu-terorisme-untuk-cegah-saya-berpartisipasi-di-pemilu-2024
4,Pengamat Sebut Elektabilitas Prabowo Tinggi Meski Jarang 'Show Off',https://news.detik.com/berita/d-5876667/pengamat-sebut-elektabilitas-prabowo-tinggi-meski-jarang-show-off
5,"Seperti Gatot, Lieus Sungkharisma Juga Gugat Presidential Threshold Jadi 0%",https://news.detik.com/berita/d-5876525/seperti-gatot-lieus-sungkharisma-juga-gugat-presidential-threshold-jadi-0
6,Ginandjar Kartasasmita: Jangan Biarkan Demokrasi Dimanipulasi,https://news.detik.com/berita/d-5876444/ginandjar-kartasasmita-jangan-biarkan-demokrasi-dimanipulasi
7,Bambang Widjojanto Tanggapi Gugatan PD Kubu Moeldoko di PTUN,https://news.detik.com/foto-news/d-5776363/bambang-widjojanto-tanggapi-gugatan-pd-kubu-moeldoko-di-ptun
8,Bambang Widjojanto Tanggapi Gugatan PD Kubu Moeldoko di PTUN,https://news.detik.com/foto-news/d-5776363/bambang-widjojanto-tanggapi-gugatan-pd-kubu-moeldoko-di-ptun
9,Tekad Golkar Ulangi Kemenangan 2004 di 2024,https://news.detik.com/foto-news/d-5773093/tekad-golkar-ulangi-kemenangan-2004-di-2024
10,"Duet Anies-Sandi 2024, Seru Nih !",https://news.detik.com/foto-news/d-5727862/duet-anies-sandi-2024-seru-nih-
11,Mendagri Tito Usul Pemilu Digelar April 2024,https://news.detik.com/foto-news/d-5726607/mendagri-tito-usul-pemilu-digelar-april-2024
12,Mukernas dan Munas Alim Ulama akan Bahas Sikap Politik PKB,https://news.detik.com/foto-news/d-5523554/mukernas-dan-munas-alim-ulama-akan-bahas-sikap-politik-pkb
13,Presidential Threshold 0 Persen Dinilai Akan Timbulkan Masalah Baru,https://news.detik.com/berita/d-5876137/presidential-threshold-0-persen-dinilai-akan-timbulkan-masalah-baru
14,"Survei Simulasi Capres Versi SMRC, Ganjar Dapat Dukungan Besar",https://news.detik.com/berita/d-5874888/survei-simulasi-capres-versi-smrc-ganjar-dapat-dukungan-besar
15,Mardani Ali Sera Usul PKS Segera Umumkan Koalisi-Capres 2024,https://news.detik.com/berita/d-5874237/mardani-ali-sera-usul-pks-segera-umumkan-koalisi-capres-2024
16,"Survei Parpol SMRC: PDIP 25,2%, Golkar 11,2%, Gerindra 10,8%",https://news.detik.com/berita/d-5873939/survei-parpol-smrc-pdip-252-golkar-112-gerindra-108
17,Anggota Komisi I DPR Jagokan Mayjen Maruli Mantu Luhut Jadi Pangkostrad,https://news.detik.com/berita/d-5873827/anggota-komisi-i-dpr-jagokan-mayjen-maruli-mantu-luhut-jadi-pangkostrad
18,Buni Yani Partai Ummat: Amien Rais Tak Berambisi Nyapres,https://news.detik.com/berita/d-5873703/buni-yani-partai-ummat-amien-rais-tak-berambisi-nyapres
19,Top 5 Capres 2024 Versi Indikator Politik Indonesia,https://20.detik.com/detikflash/20211206-211206032/top-5-capres-2024-versi-indikator-politik-indonesia
20,PKS Bantah Narasi Viral Minta Kader Rebut Ketua RT/RW Demi 2024,https://news.detik.com/berita/d-5873479/pks-bantah-narasi-viral-minta-kader-rebut-ketua-rtrw-demi-2024
21,"Partai Ummat: Jika Allah Izinkan, Kenapa Tak Bermimpi Amien Rais Presiden?",https://news.detik.com/berita/d-5872652/partai-ummat-jika-allah-izinkan-kenapa-tak-bermimpi-amien-rais-presiden
22,PDIP: Koalisi di Pilpres 2024 Keniscayaan,https://news.detik.com/berita/d-5872283/pdip-koalisi-di-pilpres-2024-keniscayaan
23,Simulasi Koalisi Pilpres 2024: Prabowo Capres Favorit,https://news.detik.com/berita/d-5872210/simulasi-koalisi-pilpres-2024-prabowo-capres-favorit
24,Andre Rosiade: Prabowo Presiden terus Menggema di Sumbar!,https://news.detik.com/berita/d-5872018/andre-rosiade-prabowo-presiden-terus-menggema-di-sumbar
25,"Jalan Kaki, Sandiaga Beri Laporan ke Prabowo",https://travel.detik.com/travel-news/d-5871316/jalan-kaki-sandiaga-beri-laporan-ke-prabowo
26,"Sandi Temui Prabowo, Kamrussamad Tuding Pencitraan-Curhat Elektabilitas",https://news.detik.com/berita/d-5870397/sandi-temui-prabowo-kamrussamad-tuding-pencitraan-curhat-elektabilitas
27,Andre Rosiade Bagikan Bantuan Rp 475 Juta ke Masjid-TK di Sijunjung,https://news.detik.com/berita/d-5870244/andre-rosiade-bagikan-bantuan-rp-475-juta-ke-masjid-tk-di-sijunjung
28,Sandiaga Jalan Kaki Kunjungi Kantor Prabowo Usai Diserang Kamrussamad,https://news.detik.com/berita/d-5869872/sandiaga-jalan-kaki-kunjungi-kantor-prabowo-usai-diserang-kamrussamad
29,"Aktivis Ini Sebut Jokowi Mulai Ditinggalkan, Koalisi Sibuk Amankan 2024",https://20.detik.com/detikflash/20211205-211205086/aktivis-ini-sebut-jokowi-mulai-ditinggalkan-koalisi-sibuk-amankan-2024-
30,Partai Mana Rela Beri 'Karpet' Merah Capres ke Ridwan Kamil?,https://news.detik.com/berita/d-5869871/partai-mana-rela-beri-karpet-merah-capres-ke-ridwan-kamil
31,"Terpilih Ketum PBNU, Yahya Staquf Diyakini Pimpin Game Changer Pemilu 2024",https://news.detik.com/berita/d-5869280/terpilih-ketum-pbnu-yahya-staquf-diyakini-pimpin-game-changer-pemilu-2024
32,Ini Modal Prabowo Unggul di Elektabilitas Capres Menurut Pengamat,https://news.detik.com/berita/d-5869217/ini-modal-prabowo-unggul-di-elektabilitas-capres-menurut-pengamat
33,Formappi Kritik F-PDIP DPR Bagi Sembako Gambar Puan: Pemilu Masih Jauh,https://news.detik.com/berita/d-5868690/formappi-kritik-f-pdip-dpr-bagi-sembako-gambar-puan-pemilu-masih-jauh
34,Sembako Gambar Puan Dinilai Sebagai 'Serangan Darat' Terkait Pilpres 2024,https://news.detik.com/berita/d-5868360/sembako-gambar-puan-dinilai-sebagai-serangan-darat-terkait-pilpres-2024
35,"Ketum PKB dan PPP Bertemu di Muktamar NU, Sinyal Koalisi 2024?",https://news.detik.com/berita/d-5868071/ketum-pkb-dan-ppp-bertemu-di-muktamar-nu-sinyal-koalisi-2024
36,"Elite Gerindra-PKB Bahas Koalisi, Ketua Jatim: Asal Prabowo Capresnya",https://news.detik.com/berita-jawa-timur/d-5868066/elite-gerindra-pkb-bahas-koalisi-ketua-jatim-asal-prabowo-capresnya
37,"Bertemu di Muktamar NU, Muzani-Cak Imin Bahas Peluang Koalisi Gerindra-PKB",https://news.detik.com/berita/d-5867719/bertemu-di-muktamar-nu-muzani-cak-imin-bahas-peluang-koalisi-gerindra-pkb
38,"Ketua Komisi B DPRD DKI Abdul Aziz Mundur, DPW PKS Usul 2 Nama Pengganti",https://news.detik.com/berita/d-5867300/ketua-komisi-b-dprd-dki-abdul-aziz-mundur-dpw-pks-usul-2-nama-pengganti
39,"NasDem Gelar Konsolidasi Wilayah Jakarta-Banten, Target Menang Pemilu",https://20.detik.com/detikflash/20211203-211203088/nasdem-gelar-konsolidasi-wilayah-jakarta-banten-target-menang-pemilu
40,Optimalisasi Pajak Tahun 2022,https://news.detik.com/kolom/d-5867059/optimalisasi-pajak-tahun-2022
41,"Giring Tolak Pembohong Pecatan Jokowi Pimpin RI, NasDem: Jangan Bunuh Karakter",https://news.detik.com/berita/d-5866856/giring-tolak-pembohong-pecatan-jokowi-pimpin-ri-nasdem-jangan-bunuh-karakter
42,Serangan Giring ke Sosok Pecatan Jokowi di Panggung HUT PSI,https://news.detik.com/berita/d-5866809/serangan-giring-ke-sosok-pecatan-jokowi-di-panggung-hut-psi
43,Pesan Ahok ke Bupati Labusel: Berani Untuk Kebenaran-Keadilan,https://news.detik.com/berita/d-5866589/pesan-ahok-ke-bupati-labusel-berani-untuk-kebenaran-keadilan
44,Jabar Hari Ini: Haru Ibu Gantikan Anak Wisuda-Herry Wirawan Layak Dikebiri,https://news.detik.com/berita-jawa-barat/d-5866587/jabar-hari-ini-haru-ibu-gantikan-anak-wisuda-herry-wirawan-layak-dikebiri
45,Ketua Komisi B DPRD DKI Abdul Aziz Mengundurkan Diri!,https://news.detik.com/berita/d-5866555/ketua-komisi-b-dprd-dki-abdul-aziz-mengundurkan-diri
46,"Mau Buat Gaduh DPR Kalau Lolos, Segini Kekuatan PSI di Survei Terkini",https://news.detik.com/berita/d-5866304/mau-buat-gaduh-dpr-kalau-lolos-segini-kekuatan-psi-di-survei-terkini
