Keyword,Judul,Link
Pendidikan 2022,"Sekolah Tatap Muka Bisa Dihentikan 2 Minggu, Apa Syaratnya?",https://www.detik.com/edu/sekolah/d-5882396/sekolah-tatap-muka-bisa-dihentikan-2-minggu-apa-syaratnya
Pendidikan 2022,"Masih PPKM Level 2, Disdik Lebak Belum Terapkan PTM 100% Hari Ini",https://news.detik.com/berita-jawa-barat/d-5882466/masih-ppkm-level-2-disdik-lebak-belum-terapkan-ptm-100-hari-ini
Pendidikan 2022,"PTM Terbatas 2022, Ortu Tak Bisa Lagi Pilih Belajar Tatap Muka atau Daring",https://www.detik.com/edu/sekolah/d-5882315/ptm-terbatas-2022-ortu-tak-bisa-lagi-pilih-belajar-tatap-muka-atau-daring
Pendidikan 2022,Trenggalek Gencarkan Vaksinasi Usia 6-11 Tahun dengan Sasaran 44.124 Anak,https://news.detik.com/berita-jawa-timur/d-5882569/trenggalek-gencarkan-vaksinasi-usia-6-11-tahun-dengan-sasaran-44124-anak
Pendidikan 2022,Covid Singapura: Kasus Terkini Omicron-Perkembangan Vaksinasi Anak,https://news.detik.com/internasional/d-5882332/covid-singapura-kasus-terkini-omicron-perkembangan-vaksinasi-anak
Pendidikan 2022,"12 Program Kampus Merdeka buat Mahasiswa, Banyak Benefitnya!",https://www.detik.com/edu/perguruan-tinggi/d-5882082/12-program-kampus-merdeka-buat-mahasiswa-banyak-benefitnya
Pendidikan 2022,Inpira Kreatif Bikin Pabrik 3D Printer di Indonesia,https://inet.detik.com/cyberlife/d-5882070/inpira-kreatif-bikin-pabrik-3d-printer-di-indonesia
Pendidikan 2022,Kepala BRIN Beberkan Bukti Megawati Peduli Riset dan Science,https://news.detik.com/berita/d-5882200/kepala-brin-beberkan-bukti-megawati-peduli-riset-dan-science
Pendidikan 2022,Firli Bahuri Harap KPK Semakin Dipercaya di Tahun 2022,https://news.detik.com/berita/d-5882100/firli-bahuri-harap-kpk-semakin-dipercaya-di-tahun-2022
Pendidikan 2022,"Kriteria Siswa Eligible SNMPTN 2022, Wajib Punya Prestasi Unggul",https://www.detik.com/edu/seleksi-masuk-pt/d-5881921/kriteria-siswa-eligible-snmptn-2022-wajib-punya-prestasi-unggul
Pendidikan 2022,"PTM Hari Pertama di Klaten, Pemkab Kejar Target Vaksinasi 105 Ribu Anak",https://www.detik.com/edu/sekolah/d-5881912/ptm-hari-pertama-di-klaten-pemkab-kejar-target-vaksinasi-105-ribu-anak
Pendidikan 2022,Wagub DKI: 10 Ribu Sekolah Gelar Tatap Muka 100%,https://news.detik.com/berita/d-5882018/wagub-dki-10-ribu-sekolah-gelar-tatap-muka-100
Pendidikan 2022,"PTM Terbatas 2022 Dimulai, Kemenkes Ingatkan Titik Kritis yang Harus Diwaspadai",https://www.detik.com/edu/sekolah/d-5881860/ptm-terbatas-2022-dimulai-kemenkes-ingatkan-titik-kritis-yang-harus-diwaspadai
Pendidikan 2022,"10 Orang Terkaya di Dunia Terbaru, Kuliah di Kampus Top Dunia",https://www.detik.com/edu/perguruan-tinggi/d-5881784/10-orang-terkaya-di-dunia-terbaru-kuliah-di-kampus-top-dunia
Pendidikan 2022,Aturan Karantina Luar Negeri Dipotong Jadi 7 Hari atau 10 Hari,https://travel.detik.com/travel-news/d-5881855/aturan-karantina-luar-negeri-dipotong-jadi-7-hari-atau-10-hari
Pendidikan 2022,"Aturan Baru Lagi, Karantina dari Luar Negeri Jadi 10 atau 7 Hari",https://news.detik.com/berita/d-5881838/aturan-baru-lagi-karantina-dari-luar-negeri-jadi-10-atau-7-hari
Pendidikan 2022,"Aturan Karantina di Indonesia Terbagi Jadi 10 dan 14 Hari, Ketentuannya?",https://travel.detik.com/travel-news/d-5881796/aturan-karantina-di-indonesia-terbagi-jadi-10-dan-14-hari-ketentuannya
Pendidikan 2022,"Sekolah Tatap Muka 100% di Jakarta Dimulai Hari Ini, Maksimal 6 Jam",https://www.detik.com/edu/sekolah/d-5881777/sekolah-tatap-muka-100-di-jakarta-dimulai-hari-ini-maksimal-6-jam
