Judul,Link
"Sajikan Steak Lapis Emas Harga Murah, Resto Ini Saingi Menu Salt Bae",https://food.detik.com/info-kuliner/d-5882277/sajikan-steak-lapis-emas-harga-murah-resto-ini-saingi-menu-salt-bae
Heboh Kado Ultah Warga di Pati Diberi 3 Unit Mobil Mewah!,https://news.detik.com/berita/d-5882525/heboh-kado-ultah-warga-di-pati-diberi-3-unit-mobil-mewah
"Viral di Magelang, Slur! Sejoli Nikah di Atas Bak Truk",https://news.detik.com/berita-jawa-tengah/d-5882497/viral-di-magelang-slur-sejoli-nikah-di-atas-bak-truk
"Baliho Wisata Aman Solo Terpampang di Yogya, Netizen Kaitkan dengan Klitih",https://travel.detik.com/travel-news/d-5882492/baliho-wisata-aman-solo-terpampang-di-yogya-netizen-kaitkan-dengan-klitih
Detik-detik Sepasang WNA Panjat Pagar Candi Prambanan Disergap Sekuriti,https://news.detik.com/berita-jawa-tengah/d-5882443/detik-detik-sepasang-wna-panjat-pagar-candi-prambanan-disergap-sekuriti
Konser Dangdut di Kediri yang Panggungnya Roboh Tak Berizin,https://news.detik.com/berita-jawa-timur/d-5882442/konser-dangdut-di-kediri-yang-panggungnya-roboh-tak-berizin
Bikin Emosi! Pria Ini Makan Onigiri Tanpa Lembaran Nori,https://food.detik.com/info-kuliner/d-5882226/bikin-emosi-pria-ini-makan-onigiri-tanpa-lembaran-nori
Viral! Sepasang WNA Kepergok Panjat Pagar Kompleks Candi Prambanan,https://news.detik.com/berita-jawa-tengah/d-5882423/viral-sepasang-wna-kepergok-panjat-pagar-kompleks-candi-prambanan
"Anak Berkebutuhan Khusus di Depok Dipukul, Ibunda Tunggu Pelaku Minta Maaf",https://news.detik.com/berita/d-5882406/anak-berkebutuhan-khusus-di-depok-dipukul-ibunda-tunggu-pelaku-minta-maaf
"Pasien Omicron Surabaya Keluhkan Gejala di Tenggorokan, Inikah Penyebabnya?",https://health.detik.com/berita-detikhealth/d-5882403/pasien-omicron-surabaya-keluhkan-gejala-di-tenggorokan-inikah-penyebabnya
Polisi Kediri Periksa Penanggung Jawab Konser Dangdut yang Panggungnya Ambruk,https://news.detik.com/berita-jawa-timur/d-5882316/polisi-kediri-periksa-penanggung-jawab-konser-dangdut-yang-panggungnya-ambruk
Viral Baliho Wisata Aman Kota Solo di Yogya Dikaitkan Klithih,https://news.detik.com/berita-jawa-tengah/d-5882261/viral-baliho-wisata-aman-kota-solo-di-yogya-dikaitkan-klithih
Pria dalam Video Sejoli Mesum Terekam CCTV di Sunter Jadi Tersangka,https://news.detik.com/berita/d-5882244/pria-dalam-video-sejoli-mesum-terekam-cctv-di-sunter-jadi-tersangka
Polisi Bakal Kaji Laporan Pelatih Biliar yang Dijewer Gubsu,https://news.detik.com/berita/d-5882212/polisi-bakal-kaji-laporan-pelatih-biliar-yang-dijewer-gubsu
"Viral Lempar Telur-Siram Oli ke Laundry di Medan, 2 Preman Ditangkap",https://news.detik.com/berita/d-5882195/viral-lempar-telur-siram-oli-ke-laundry-di-medan-2-preman-ditangkap
Polisi Periksa Pemukul Orang Berkebutuhan Khusus di Depok,https://news.detik.com/berita/d-5882144/polisi-periksa-pemukul-orang-berkebutuhan-khusus-di-depok
Polisi Ungkap Alasan Tilang-Kuras Bensin Moge Sunmori di BSD yang Viral,https://news.detik.com/berita/d-5882048/polisi-ungkap-alasan-tilang-kuras-bensin-moge-sunmori-di-bsd-yang-viral
"Polisi Diviralkan Anarkis di Malam Tahun Baru, Polda NTT Ungkap Faktanya",https://news.detik.com/berita/d-5882042/polisi-diviralkan-anarkis-di-malam-tahun-baru-polda-ntt-ungkap-faktanya
